case,cells,time_us,strategy,executor,julia_or_neon,threads,node,nnz
DrivAer,65334765.0,2475930.0,Face-Based,CPU,JuNe,128.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,2376999.0,Cell-Based,CPU,JuNe,128.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,2145500.0,Cell-Based,CPU,JuNe,128.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,1774391.0,Cell-Based,CPU,JuNe,128.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,3941461.0,Global Face-Based,CPU,JuNe,128.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,3762622.0,Global Face-Based,CPU,JuNe,128.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,3539273.0,Global Face-Based,CPU,JuNe,128.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,21042393.0,Face-Based,CPU,JuNe,1.0,gpu-nvidia-h200,460041233.0
DrivAer,65334765.0,20901150.0,Face-Based,CPU,JuNe,1.0,gpu-nvidia-h200,460041233.0
DrivAer,65334765.0,21079590.0,Face-Based,CPU,JuNe,1.0,gpu-nvidia-h200,460041233.0
DrivAer,65334765.0,21720579.0,Cell-Based,CPU,JuNe,1.0,gpu-nvidia-h200,460041233.0
DrivAer,65334765.0,21444740.0,Cell-Based,CPU,JuNe,1.0,gpu-nvidia-h200,460041233.0
DrivAer,65334765.0,21442866.0,Cell-Based,CPU,JuNe,1.0,gpu-nvidia-h200,460041233.0
DrivAer,65334765.0,20832827.0,Global Face-Based,CPU,JuNe,1.0,gpu-nvidia-h200,460041233.0
DrivAer,65334765.0,20865448.0,Global Face-Based,CPU,JuNe,1.0,gpu-nvidia-h200,460041233.0
DrivAer,65334765.0,20871925.0,Global Face-Based,CPU,JuNe,1.0,gpu-nvidia-h200,460041233.0
DrivAer,65334765.0,5640594.0,Face-Based,CPU,JuNe,2.0,gpu-nvidia-h200,460041233.0
DrivAer,65334765.0,5656252.0,Face-Based,CPU,JuNe,2.0,gpu-nvidia-h200,460041233.0
DrivAer,65334765.0,5640641.0,Face-Based,CPU,JuNe,2.0,gpu-nvidia-h200,460041233.0
DrivAer,65334765.0,4296296.0,Cell-Based,CPU,JuNe,2.0,gpu-nvidia-h200,460041233.0
DrivAer,65334765.0,4392305.0,Cell-Based,CPU,JuNe,2.0,gpu-nvidia-h200,460041233.0
DrivAer,65334765.0,4410191.0,Cell-Based,CPU,JuNe,2.0,gpu-nvidia-h200,460041233.0
DrivAer,65334765.0,6486555.0,Global Face-Based,CPU,JuNe,2.0,gpu-nvidia-h200,460041233.0
DrivAer,65334765.0,6435662.0,Global Face-Based,CPU,JuNe,2.0,gpu-nvidia-h200,460041233.0
DrivAer,65334765.0,6450242.0,Global Face-Based,CPU,JuNe,2.0,gpu-nvidia-h200,460041233.0
DrivAer,65334765.0,4099355.0,Face-Based,CPU,JuNe,4.0,gpu-nvidia-h200,460041233.0
DrivAer,65334765.0,3914953.0,Face-Based,CPU,JuNe,4.0,gpu-nvidia-h200,460041233.0
DrivAer,65334765.0,4155901.0,Face-Based,CPU,JuNe,4.0,gpu-nvidia-h200,460041233.0
DrivAer,65334765.0,3344282.0,Cell-Based,CPU,JuNe,4.0,gpu-nvidia-h200,460041233.0
DrivAer,65334765.0,3361758.0,Cell-Based,CPU,JuNe,4.0,gpu-nvidia-h200,460041233.0
DrivAer,65334765.0,3127097.0,Cell-Based,CPU,JuNe,4.0,gpu-nvidia-h200,460041233.0
DrivAer,65334765.0,5076161.0,Global Face-Based,CPU,JuNe,4.0,gpu-nvidia-h200,460041233.0
DrivAer,65334765.0,5055271.0,Global Face-Based,CPU,JuNe,4.0,gpu-nvidia-h200,460041233.0
DrivAer,65334765.0,5233368.0,Global Face-Based,CPU,JuNe,4.0,gpu-nvidia-h200,460041233.0
DrivAer,65334765.0,2196568.0,Face-Based,CPU,JuNe,8.0,gpu-nvidia-h200,460041233.0
DrivAer,65334765.0,2182841.0,Face-Based,CPU,JuNe,8.0,gpu-nvidia-h200,460041233.0
DrivAer,65334765.0,2222256.0,Face-Based,CPU,JuNe,8.0,gpu-nvidia-h200,460041233.0
DrivAer,65334765.0,1766455.0,Cell-Based,CPU,JuNe,8.0,gpu-nvidia-h200,460041233.0
