case,cells,time_us,strategy,executor,julia_or_neon,threads,node,nnz
LDC_N80,512000.0,958.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N80,512000.0,843.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N80,512000.0,834.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N80,512000.0,1477.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N80,512000.0,1416.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N80,512000.0,1394.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N70,343000.0,693.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N70,343000.0,652.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N70,343000.0,651.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N70,343000.0,1390.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N70,343000.0,1373.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N70,343000.0,1372.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N70,343000.0,1761.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N70,343000.0,1671.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N70,343000.0,1658.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N70,343000.0,952.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N70,343000.0,691.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N70,343000.0,686.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N70,343000.0,1375.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N70,343000.0,1325.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N70,343000.0,1318.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N90,729000.0,1204.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N90,729000.0,1163.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N90,729000.0,1163.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N90,729000.0,1724.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N90,729000.0,1691.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N90,729000.0,1697.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N90,729000.0,2816.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N90,729000.0,2774.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N90,729000.0,2759.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N90,729000.0,1184.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N90,729000.0,997.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N90,729000.0,977.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N90,729000.0,1695.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N90,729000.0,1595.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N90,729000.0,1574.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N80,512000.0,858.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N80,512000.0,817.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N80,512000.0,813.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N80,512000.0,1550.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N80,512000.0,1563.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N80,512000.0,1538.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N80,512000.0,2119.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N80,512000.0,2030.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N80,512000.0,2030.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N80,512000.0,984.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N80,512000.0,801.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N80,512000.0,796.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N80,512000.0,1486.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N80,512000.0,1416.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N80,512000.0,1425.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N100,1000000.0,1355.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N100,1000000.0,1329.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N100,1000000.0,1311.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N100,1000000.0,2035.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N100,1000000.0,2041.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N100,1000000.0,2055.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
